,Movie Title,Year,Duration,Genre,Rating
111,The Village,2004,108 min,"Drama, Mystery, Thriller            ",6.5
112,The Irishman,2019,209 min,"Biography, Crime, Drama            ",7.8
113,Transformers,2007,144 min,"Action, Adventure, Sci-Fi            ",7.0
114,Con Air,1997,115 min,"Action, Crime, Thriller            ",6.9
115,Iron man - El hombre de hierro,2008,126 min,"Action, Adventure, Sci-Fi            ",7.9
116,Interview with the Vampire: The Vampire Chronicles,1994,123 min,"Drama, Fantasy, Horror            ",7.5
117,The Avengers,2012,143 min,"Action, Adventure, Sci-Fi            ",8.0
118,Atonement,2007,123 min,"Drama, Mystery, Romance            ",7.8
119,The Revenant,2015,156 min,"Action, Adventure, Drama            ",8.0
120,The Green Mile,1999,189 min,"Crime, Drama, Fantasy            ",8.6
121,The Hobbit: An Unexpected Journey,2012,169 min,"Adventure, Fantasy            ",7.8
122,Unfaithful,2002,124 min,"Drama, Romance, Thriller            ",6.7
123,Dia de la independencia,1996,145 min,"Action, Adventure, Sci-Fi            ",7.0
124,Fantastic Mr. Fox,2009,87 min,"Animation, Adventure, Comedy            ",7.9
125,The Royal Tenenbaums,2001,110 min,"Comedy, Drama            ",7.6
126,There Will Be Blood,2007,158 min,Drama            ,8.2
127,Batman inicia,2005,140 min,"Action, Adventure            ",8.2
128,Maleficent,2014,97 min,"Action, Adventure, Family            ",7.0
129,Mulholland Dr.,2001,147 min,"Drama, Mystery, Thriller            ",7.9
130,Zootopia,2016,108 min,"Animation, Adventure, Comedy            ",8.0
131,Fantastic Beasts and Where to Find Them,2016,132 min,"Adventure, Family, Fantasy            ",7.3
132,Guardians of the Galaxy Vol. 2,2017,136 min,"Action, Adventure, Comedy            ",7.6
133,Corazón valiente,1995,178 min,"Biography, Drama, History            ",8.3
134,El viaje de Chihiro,2001,125 min,"Animation, Adventure, Family            ",8.6
135,Logan,2017,137 min,"Action, Drama, Sci-Fi            ",8.1
136,La guerra de las galaxias: Episodio I - La amenaza fantasma,1999,136 min,"Action, Adventure, Fantasy            ",6.5
137,Red social,2010,120 min,"Biography, Drama            ",7.7
138,Doctor Strange,2016,115 min,"Action, Adventure, Fantasy            ",7.5
139,Charlie y la fábrica de chocolate,2005,115 min,"Adventure, Comedy, Family            ",6.6
140,Drive,I 2011,100 min,"Action, Drama            ",7.8
141,Almost Famous,2000,122 min,"Adventure, Comedy, Drama            ",7.9
142,Moana,I 2016,107 min,"Animation, Adventure, Comedy            ",7.6
143,Soul,2020,100 min,"Animation, Adventure, Comedy            ",8.1
144,Spider-Man 2,2004,127 min,"Action, Adventure, Sci-Fi            ",7.3
145,Memento,2000,113 min,"Mystery, Thriller            ",8.4
146,Minari,2020,115 min,Drama            ,7.5
147,The Usual Suspects,1995,106 min,"Crime, Drama, Mystery            ",8.5
148,Ghost,1990,127 min,"Drama, Fantasy, Romance            ",7.1
149,Cast Away,2000,143 min,"Adventure, Drama, Romance            ",7.8
150,El señor de los anillos: Las dos torres,2002,179 min,"Action, Adventure, Drama            ",8.7
151,The Rock,1996,136 min,"Action, Adventure, Thriller            ",7.4
152,Noches de placer,1997,155 min,Drama            ,7.9
153,The Hateful Eight,2015,168 min,"Crime, Drama, Mystery            ",7.8
154,Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi            ",8.5
155,La La Land: Ciudad de Sueños,2016,128 min,"Comedy, Drama, Music            ",8.0
156,Mujer bonita,1990,119 min,"Comedy, Romance            ",7.1
157,Sweeney Todd - El barbero demoníaco de la calle Fleet,2007,116 min,"Drama, Horror, Musical            ",7.3
158,Toy Story,1995,81 min,"Animation, Adventure, Comedy            ",8.3
